Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,262.0,262.049988,248.899994,248.899994,248.899994,74715306.0
2023-08-22,236.449997,236.449997,236.449997,236.449997,236.449997,7281398.0
2023-08-23,224.649994,224.649994,224.649994,224.649994,224.649994,4289046.0
2023-08-24,213.449997,213.449997,213.449997,213.449997,213.449997,27673350.0
2023-08-25,202.800003,224.100006,202.800003,214.5,214.5,281040100.0
2023-08-28,213.350006,222.25,207.550003,211.149994,211.149994,87522120.0
2023-08-29,212.0,221.699997,207.25,220.25,220.25,92693420.0
2023-08-30,224.899994,231.25,224.699997,231.25,231.25,21403170.0
2023-08-31,241.699997,242.800003,231.149994,233.5,233.5,124122100.0
2023-09-01,235.0,245.149994,234.199997,245.149994,245.149994,39481020.0
2023-09-04,255.300003,266.950012,249.0,253.449997,253.449997,99246730.0
2023-09-05,257.0,260.0,253.0,255.050003,255.050003,47127070.0
2023-09-06,247.0,259.799988,246.050003,252.850006,252.850006,225413100.0
2023-09-07,252.0,257.299988,251.25,251.800003,251.800003,43856830.0
2023-09-08,254.0,255.0,249.5,253.199997,253.199997,36090000.0
2023-09-11,256.950012,257.700012,250.0,250.149994,250.149994,24982850.0
2023-09-12,251.75,252.0,240.899994,244.25,244.25,39500710.0
2023-09-13,244.800003,247.800003,236.600006,240.199997,240.199997,27810990.0
2023-09-14,242.0,244.550003,241.25,242.550003,242.550003,14055230.0
2023-09-15,243.800003,244.649994,237.649994,239.399994,239.399994,27416100.0
2023-09-18,240.0,240.850006,232.100006,233.199997,233.199997,24694410.0
2023-09-20,230.399994,232.0,229.0,229.649994,229.649994,18317600.0
2023-09-21,230.0,235.600006,226.800003,227.649994,227.649994,33101550.0
2023-09-22,227.949997,232.25,226.350006,227.800003,227.800003,38327550.0
2023-09-25,230.0,230.850006,227.5,229.75,229.75,13392150.0
2023-09-26,231.100006,231.699997,230.0,230.399994,230.399994,8058261.0
2023-09-27,231.199997,231.199997,227.0,227.350006,227.350006,10984320.0
2023-09-28,228.0,228.850006,224.75,225.050003,225.050003,9143582.0
2023-09-29,225.899994,232.899994,225.0,231.199997,231.199997,12411230.0
2023-10-03,231.5,233.899994,230.550003,231.399994,231.399994,13185430.0
2023-10-04,230.0,230.0,223.5,224.649994,224.649994,23296540.0
2023-10-05,225.899994,227.899994,224.199997,225.399994,225.399994,13894930.0
2023-10-06,226.5,227.649994,223.699997,225.100006,225.100006,7531900.0
2023-10-09,223.0,223.0,218.850006,219.649994,219.649994,9696908.0
2023-10-10,221.0,223.899994,219.75,220.149994,220.149994,10451280.0
2023-10-11,222.0,227.699997,220.600006,225.100006,225.100006,11765080.0
2023-10-12,227.0,227.399994,224.75,225.149994,225.149994,7780605.0
2023-10-13,224.0,225.899994,222.0,224.550003,224.550003,10137210.0
2023-10-16,224.899994,225.949997,224.0,224.800003,224.800003,10850720.0
2023-10-17,231.5,233.0,220.5,220.949997,220.949997,34190040.0
2023-10-18,221.600006,222.899994,215.550003,216.0,216.0,27712060.0
2023-10-19,216.0,216.0,209.050003,214.199997,214.199997,42127110.0
2023-10-20,215.5,217.0,213.0,214.199997,214.199997,11101460.0
2023-10-23,214.0,214.199997,204.25,206.600006,206.600006,17817780.0
2023-10-25,206.600006,211.800003,206.5,210.149994,210.149994,22079260.0
2023-10-26,208.0,217.0,206.449997,215.850006,215.850006,23734030.0
2023-10-27,219.600006,225.600006,216.449997,222.899994,222.899994,20929440.0
2023-10-30,224.5,226.199997,218.149994,219.0,219.0,13508660.0
2023-10-31,222.0,223.199997,215.550003,219.0,219.0,17538200.0
2023-11-01,216.0,222.050003,215.300003,217.649994,217.649994,15862620.0
2023-11-02,218.5,219.600006,216.699997,217.350006,217.350006,13261560.0
2023-11-03,219.0,220.649994,217.649994,219.050003,219.050003,8569115.0
2023-11-06,220.399994,220.699997,216.75,217.149994,217.149994,11494090.0
2023-11-07,217.899994,218.800003,216.5,217.199997,217.199997,7558170.0
2023-11-08,217.800003,217.899994,213.800003,214.149994,214.149994,17101600.0
2023-11-09,214.850006,217.699997,214.850006,215.149994,215.149994,17250090.0
2023-11-10,214.850006,222.949997,214.350006,221.949997,221.949997,18467210.0
2023-11-13,223.0,225.899994,222.25,224.75,224.75,12086990.0
2023-11-15,226.949997,227.350006,223.199997,224.149994,224.149994,15782000.0
2023-11-16,225.5,229.300003,223.850006,226.949997,226.949997,17856030.0
2023-11-17,226.0,226.0,220.399994,220.800003,220.800003,19607100.0
2023-11-20,221.75,221.75,215.050003,215.5,215.5,20403360.0
2023-11-21,217.399994,223.149994,216.550003,220.199997,220.199997,25625460.0
2023-11-22,219.699997,223.399994,218.5,221.899994,221.899994,15012270.0
2023-11-23,222.5,223.25,219.600006,221.25,221.25,11267950.0
2023-11-24,221.899994,227.850006,220.5,226.5,226.5,31420610.0
2023-11-28,228.050003,232.300003,225.300003,226.350006,226.350006,25668670.0
2023-11-29,229.350006,229.350006,224.199997,226.050003,226.050003,14007700.0
2023-11-30,226.050003,231.800003,222.649994,229.399994,229.399994,45432210.0
2023-12-01,231.449997,231.600006,224.850006,225.5,225.5,17634910.0
2023-12-04,229.75,232.0,227.899994,230.100006,230.100006,21079660.0
2023-12-05,231.0,246.0,229.399994,242.5,242.5,60847480.0
2023-12-06,244.899994,251.600006,243.0,247.050003,247.050003,45262700.0
2023-12-07,249.0,250.699997,245.100006,249.149994,249.149994,23000400.0
2023-12-08,249.0,250.5,240.0,244.25,244.25,19056790.0
2023-12-11,244.850006,247.0,243.050003,245.600006,245.600006,8875953.0
2023-12-12,246.050003,247.300003,238.300003,240.550003,240.550003,12749590.0
2023-12-13,242.0,242.399994,235.350006,239.75,239.75,13774940.0
2023-12-14,242.899994,243.75,238.050003,238.600006,238.600006,14352890.0
2023-12-15,240.0,242.600006,236.399994,237.649994,237.649994,26225280.0
2023-12-18,241.0,242.199997,237.600006,240.149994,240.149994,17001750.0
2023-12-19,240.300003,240.800003,237.899994,238.300003,238.300003,13053450.0
2023-12-20,238.899994,248.199997,230.050003,232.100006,232.100006,44628840.0
2023-12-21,230.850006,238.699997,229.0,238.0,238.0,17015300.0
2023-12-22,238.75,239.75,234.600006,236.75,236.75,10871310.0
2023-12-26,237.25,238.0,233.699997,234.699997,234.699997,11865880.0
2023-12-27,236.0,237.25,233.0,234.0,234.0,12430460.0
2023-12-28,235.0,236.350006,232.550003,233.350006,233.350006,10533950.0
2023-12-29,233.899994,235.199997,232.25,232.949997,232.949997,11614920.0
2024-01-01,233.350006,236.399994,233.300003,234.550003,234.550003,7919961.0
2024-01-02,235.0,236.0,232.0,235.350006,235.350006,9216592.0
2024-01-03,235.399994,236.0,233.550003,234.5,234.5,9864949.0
2024-01-04,238.850006,243.25,236.800003,241.399994,241.399994,32808930.0
2024-01-05,244.5,248.199997,241.5,243.649994,243.649994,29722060.0
2024-01-08,246.850006,246.899994,240.300003,242.399994,242.399994,21118010.0
2024-01-09,243.899994,244.649994,241.5,242.149994,242.149994,10689240.0
2024-01-10,242.0,242.300003,239.300003,240.949997,240.949997,11798540.0
2024-01-11,243.0,253.399994,240.649994,251.550003,251.550003,45792810.0
2024-01-12,255.0,259.350006,253.699997,255.050003,255.050003,46763290.0
2024-01-15,258.0,269.700012,257.049988,266.75,266.75,68617370.0
2024-01-16,254.100006,258.0,246.5,248.850006,248.850006,70456850.0
2024-01-17,247.0,247.0,242.149994,242.550003,242.550003,28318080.0
2024-01-19,245.850006,249.149994,245.399994,246.25,246.25,16563070.0
2024-01-23,247.850006,248.050003,240.0,240.399994,240.399994,13184700.0
2024-01-24,240.0,241.550003,237.100006,239.75,239.75,15276800.0
2024-01-25,240.399994,242.649994,238.899994,239.850006,239.850006,12352490.0
2024-01-29,242.0,254.399994,240.0,251.0,251.0,41148260.0
2024-01-30,253.149994,253.949997,247.100006,247.699997,247.699997,15292450.0
2024-01-31,247.649994,250.600006,246.100006,248.25,248.25,15183900.0
2024-02-01,251.0,254.699997,249.199997,252.399994,252.399994,24323320.0
2024-02-02,252.5,257.299988,250.600006,253.800003,253.800003,30218950.0
2024-02-05,256.350006,295.700012,255.699997,289.100006,289.100006,211028600.0
2024-02-06,285.700012,285.700012,266.049988,270.950012,270.950012,86635610.0
2024-02-07,273.450012,275.700012,267.399994,268.5,268.5,30963700.0
2024-02-08,270.0,270.399994,261.950012,262.799988,262.799988,21948920.0
2024-02-09,264.399994,276.299988,258.399994,273.0,273.0,51120880.0
2024-02-12,276.100006,281.100006,267.700012,271.450012,271.450012,47043870.0
2024-02-13,270.450012,275.399994,263.700012,272.75,272.75,31220100.0
2024-02-14,269.899994,275.0,268.549988,273.0,273.0,21374190.0
2024-02-15,275.0,279.0,273.0,274.049988,274.049988,19477720.0
2024-02-16,275.299988,276.75,271.0,271.899994,271.899994,14337050.0
